Models,Training,Testing,RMSE,MAE
ElasticNet,82.68167019091295,80.35725624073697,1122654208.3118048,776652948.6569992
DecisionTreeRegressor,83.34760988870579,78.56341954451406,1172796570.0364258,738901760.2705504
RandomForestRegressor,88.78080102782617,82.47851618407094,1060303936.9095708,634092430.2406412
XGBoostRegressor,88.78492640004309,83.4348504880902,1030961893.2514719,622108130.48
